CoD,CENTRAL,Tecnología,MW,PROMEDIO US$/MWh 0120,PROMEDIO US$/MWh 0220,PROMEDIO US$/MWh 0320,PROMEDIO US$/MWh 0420,PROMEDIO US$/MWh 0520,PROMEDIO US$/MWh 0620,PROMEDIO US$/MWh 0720,PROMEDIO US$/MWh 0820,PROMEDIO US$/MWh 0920,PROMEDIO US$/MWh 1020,PROMEDIO US$/MWh 1120,PROMEDIO US$/MWh 1220,PROMEDIO US$/MWh 0121,PROMEDIO US$/MWh 0221,PROMEDIO US$/MWh 0321,PROMEDIO US$/MWh 0421,PROMEDIO US$/MWh 0521,PROMEDIO US$/MWh 0621,PROMEDIO US$/MWh 0721,PROMEDIO US$/MWh 0821,PROMEDIO US$/MWh 0921,PROMEDIO US$/MWh 1021,PROMEDIO US$/MWh 1121,PROMEDIO US$/MWh 1221,PROMEDIO US$/MWh 0122,PROMEDIO US$/MWh 0222,PROMEDIO US$/MWh 0322,PROMEDIO US$/MWh 0422,PROMEDIO US$/MWh 0522,PROMEDIO US$/MWh 0622,PROMEDIO US$/MWh 0722,PROMEDIO US$/MWh 0822,PROMEDIO US$/MWh 0922,PROMEDIO US$/MWh 1022,PROMEDIO US$/MWh 1122,PROMEDIO US$/MWh 1222,PROMEDIO US$/MWh 0123,PROMEDIO US$/MWh 0223,PROMEDIO US$/MWh 0323,PROMEDIO US$/MWh 0423,PROMEDIO US$/MWh 0523,PROMEDIO US$/MWh 0623,PROMEDIO US$/MWh 0723,PROMEDIO US$/MWh 0823,PROMEDIO US$/MWh 0923,PROMEDIO US$/MWh 1023,PROMEDIO US$/MWh 1123,PROMEDIO US$/MWh 1223,PROMEDIO US$/MWh 0124,PROMEDIO US$/MWh 0224,PROMEDIO US$/MWh 0324,PROMEDIO US$/MWh 0424,PROMEDIO US$/MWh 0524,PROMEDIO US$/MWh 0624,PROMEDIO US$/MWh 0724,PROMEDIO US$/MWh 0824,PROMEDIO US$/MWh 0924,PROMEDIO US$/MWh 1024,PROMEDIO US$/MWh 1124,PROMEDIO US$/MWh 1224,PROMEDIO US$/MWh 0125,PROMEDIO US$/MWh 0225
1996,Corani,Hidro,65.25,33.83513760058223,36.11076080080859,39.23601727351972,60.96192750784126,43.97582185501445,30.14412918882545,28.16953142641556,29.65535103497763,29.73649031651451,34.10358496638378,52.69367932645067,54.7417799410807,27.00628811630592,27.09035117861255,26.86929700986231,23.59521414991453,35.59758694478173,26.63827718947414,27.24635453289671,26.82055973489403,26.96303842251235,30.32955178681076,46.59881706576615,29.47096260820864,34.60829088915843,50.26445647960529,32.90134152061937,29.36624700640596,25.4177142932767,26.45755400622987,26.18670772032519,27.68209443208063,30.08292874081446,51.02869715858538,54.74958636211837,75.43325813821446,88.54942779181367,1343.885413270321,1062.02850642264,149.531457416558,116.1983877513343,56.0791729010661,48.62985089664635,43.95763599801509,46.7985943281,42.6158357416,42.1241654643,32.7529974876,85.0091295844,54.6623264225,25.86685800019259,27.16189724138588,29.99142424231298,29.82318639443838,29.28600660747927,34.82367909750004,35.90093345130407,38.29234731453565,43.4418407794791,39.69926142290484,40.6506533643796,51.94396576730674
1996,Santa Isabel,Hidro,91.11,30.51706377410825,31.26693831545618,35.80072095596205,56.14341391380862,42.31370049777165,28.66122257931418,27.05229597527748,28.54359665350712,28.46291370183828,31.62143431420088,50.99970130724829,44.32690077877692,23.65462412251816,24.35017382260327,24.39624495714482,21.93111041249418,34.02208615204774,25.32599369597277,26.31661805801755,26.92050626881448,27.79093037549848,30.08147684089964,43.7973797049629,28.46527521848963,31.92357330140734,43.92971362738938,30.76199474111435,27.87929250278946,25.19914518478611,26.30276274811644,26.0608303718423,27.41333101663304,29.64527614453717,49.32368567922583,53.39267704223282,67.59859665522471,75.32839995406967,180.851508942248,205.391052735756,109.495361393968,108.2097316445036,56.25790957383104,49.16582965811185,45.09790643206968,47.2815261714,42.3035881381,39.1620514695,28.7764279357,65.0096181124,43.4735359824,24.92192398255377,26.57237844684563,29.21967646152695,29.35758640540956,29.9045245972804,34.2765435609769,35.8042972086619,38.34872555750423,41.94329102690711,35.30396558756026,34.93701305438478,44.74521862265204
2018,San José I,Hidro,55.0,29.95664770457833,30.44064349415598,30.30388970378051,35.31730907078916,36.75696878220509,33.47115173701159,33.32192806155731,35.46493351015272,36.15468510358657,37.14373691486993,52.9188677151053,33.72804764112658,22.74887209786075,24.07224529365028,24.02054057191468,22.65213434427227,33.59078228110814,30.99832231672238,32.86339538291048,32.74144443546965,32.89865410004882,33.13535403715051,34.83124269633624,25.37576441128669,27.17577181343878,30.51787634608677,27.03623754653831,26.17173318957259,26.92046791842789,29.62110684786542,31.42183155086585,33.82277122166135,34.49232059449795,49.68923437511989,55.69407796535123,46.7516310712999,47.13261455748167,38.34619724129988,41.42768050978626,41.05930283497431,56.93806931123566,55.09672216042921,55.35955898347284,61.38226003486778,53.3673065859,42.3822909335,33.2906411513,25.0220346675,30.4926302389,30.0388425055,23.97423565454307,25.09323910591277,28.88407819700069,32.63585998359479,34.84396422614567,41.69029251002049,43.07899394835503,45.39932917452365,40.92334003884966,28.68980122375283,25.26169407796402,30.88498550206061
2019,San José II,Hidro,69.0,30.98847513793572,31.78334474520103,31.52425361697885,37.03086113675715,38.22236381774196,35.11427914518563,35.01163360473797,37.12706251372892,37.58891293879599,39.09596925712378,56.35459949994955,34.96913528638667,23.77401304519305,25.41774579304905,25.14258828976603,23.81423621747946,35.90966156005961,32.58834085546528,34.56308353425913,34.84985057373341,34.06411134147765,35.31346153803092,36.28198234902186,26.46043569569919,28.11546718511372,32.13385969504908,28.35663843425591,27.44238778016026,28.46832948504475,31.25869039951861,33.11275136394615,35.72401531313754,36.69507803531233,51.50564381053024,59.52385072320092,49.95284707846608,50.18563243397617,40.86936344773899,43.77415490022714,43.3615622489567,60.77807681466606,59.15898968830421,59.03508752290115,65.10141759341197,56.57617585,45.3390756492,35.0614832942,26.2305801892,32.0674867823,31.9554533568,25.09894973496361,26.36948263635253,30.24390008358753,34.75544205015274,36.79057725611647,43.87449832276474,45.89960432348479,47.94202042000756,43.50472603962957,30.10373787205851,26.68572070808314,32.55305406033309
2014,Qollpana (Fase I),Eólica,3.0,17.38381089930936,17.17722373967506,14.86417282232992,13.73945179797041,11.43148198253402,12.92173767618873,13.43170327119405,14.7179851135738,15.42107176851935,15.54107683976248,18.18166851014367,14.67622560349491,10.1311456940867,10.84518454218107,10.47393352748001,10.40340079145424,12.22684803834259,12.00230824250221,12.8429534277889,13.14396174645421,12.37191079061633,13.01342452475874,13.27768932682295,12.23646891236196,12.25153240613266,11.75941943999116,11.78220934506792,11.51501988782094,11.38066601818749,11.10524456359405,11.37269858268331,11.74637756453208,12.10809540328425,12.58367961845339,14.74115458628279,14.95300581046455,12.07997642728468,11.83879909453935,12.49774450226842,12.99670509533631,13.02502997565696,12.62603434683216,11.61575947795784,11.92803089991005,11.7486661358,12.5789102962,13.4320251366,11.1768043485,12.6226920742,12.5764252367,11.55592843677438,11.27254340242382,11.10417743749428,11.19143621768056,11.31942428485978,11.34456277775109,14.96138376822922,16.32060538974561,11.96545014463346,12.06124547846713,11.40673277953128,12.1942598338756
2016,Qollpana (Fase II),Eólica,24.0,56.1147149825912,55.19658077778294,48.19268131606462,45.09050447263913,41.17485353256154,44.7292845636503,46.27418368672516,50.3091263496094,52.34948120763378,54.71158711093609,71.16952816598591,60.03555160801776,42.99743573632087,46.05669711894567,42.87580074679664,44.59354873341568,46.3420974072576,45.40548899269513,48.14224282649187,49.14988478165118,46.44737583783571,48.4613733962879,50.35939631956833,47.54102137826964,46.85833512986411,45.39673954155345,44.77566186358248,44.29472516197077,45.35868131478372,44.53345892924843,45.58383994163073,47.02412315638809,48.70768535816411,50.06510510581262,58.08602910079589,60.24441305422785,51.05340181058497,49.65742926375069,52.15384498401222,53.65883124834993,53.95942163871725,53.76773962694973,50.39593382934967,51.90194860000267,51.1250119892,54.4838841116,58.4264893231,49.2584145589,55.9256002448,55.9188407457,50.41272264492341,49.82967007881035,50.23353594698573,50.87529630669218,51.37463768487756,52.17011849644569,66.45627699735367,73.53794470106857,57.22678036767655,58.62967089938969,59.2062276355765,61.65301701427365
1996,Guaracachi,Termo,345.95,32.50123179315182,39.8873475393143,31.67320344718642,30.16949406880569,25.79183703655725,28.86204713809385,35.70609443999156,36.14393988987969,29.40295535276825,29.42824482271632,32.47416721891972,26.79576610593599,26.39381308112843,29.96441294436861,26.2610016784795,27.29274976687491,24.0206815140734,24.92843579368775,23.35765976875117,130.0525658663461,64.2459696233819,49.10976315481627,69.07505966678508,58.24695065109113,51.78010113151521,53.76179311281331,67.5426907930727,68.12827150381531,161.0049481456583,34.37065237541837,24.88883609393649,25.36704418846473,22.1003014578223,25.92929207514636,28.67256183626184,28.93951502593844,26.27024400219112,27.54255937618776,29.03685221621845,27.76852428062551,26.57474601002841,33.33503816378578,27.11066789643621,26.06987729274212,26.2528750379,29.3787099846,28.2018625733,26.5050678456,27.1823010356,33.3855994486,45.1474918834999,53.30849422913417,230.4946469291497,320.6792358067729,1071.413807919402,209.0646708421322,88.84727985254854,35.90400746460142,29.87192276229192,33.64028953515011,30.13577206442992,31.94286221811782
2009,Santa Cruz,Termo,41.95,75.638984448308,142.8488565859127,56.37187682525549,,,,129.8987211788477,86.72004908839857,93.26933952948174,57.28743047938588,64.1836451123666,58.51809503236932,,123.6892747993448,107.9189400811355,101.6897564424033,,,123.61845183099,271.3553419788537,66.7256883801753,66.30391171620967,145.6483116671718,73.74522542597543,48.85843986748789,51.67272129551241,68.16987401857425,85.52302175293912,,,,787.1414288746909,1297.967228063997,127.1339088107334,47.9768467247891,49.32741594491175,219.6149412129332,,67.31848477239382,159.9755579621014,223.6885289067632,,1294.305411198089,3498.240940124573,,679.6688203544,484.140696028,877.5804164281,828.9050941208,70.8486425224,46.59785471814766,60.41723507330729,108.7018718303515,,,284.3774755840942,63.37616618958261,55.60521465091481,,267.0912597705578,184.9644160388023,116.0114041067206
2014,Santa Cruz (Unagro),Biomasa,35.0,,,,,,,26.01837649559933,26.40258383579069,26.46649046418338,26.01830407734298,27.74183709988756,24.18453304548136,,,,,,24.33189637089179,24.19712590684615,25.33845789430658,25.21136867393474,25.2769290702416,25.4012717734301,,,,,,,26.27749620685281,23.43365838541247,21.76607335572588,23.40256834788518,24.59469224118189,,,,,,,,,25.43868610640057,24.12313385751584,24.9822165799,25.8851797786,25.7238894162,,,,,,,25.40338234253598,25.05742674068775,25.39204641923422,29.23170995104897,30.6963821991866,,,,
2016,Santa Cruz (EASBA),Biomasa,5.0,,,,,,,,28.19712224825558,28.70870671654974,28.06192215251261,,,,,,,,,,25.01257544681978,26.89673851608863,26.86846507933553,,,,,,,,,,24.07423145017858,24.43741052002784,25.40423308659465,25.26911755255731,,,,,,,,,25.115077935197,25.8257861643,,,,,,,,,,,25.85062043356831,28.48385685142916,30.90004169964226,,,,
1996,Aranjuez,Termo,35.19,31.02555697931496,31.31002656053039,28.87207494225408,29.22507392119012,26.29287065301736,25.14649253127295,26.83428308580775,36.39914984697791,28.34642838377274,28.89442158136391,28.46643315181272,23.57865040075947,31.99210358535451,32.56301464382751,27.00978927877571,35.70371740159254,32.14557048730772,32.5215755654798,35.36187359805174,33.5852189747585,35.69711970135249,35.54726599046982,33.45323546991843,38.47910104220874,37.41997877175054,37.73650079388374,34.91473265506773,38.06049700818772,35.67139771692102,36.09998915676749,37.05146897063079,34.46911986623864,34.43200130823712,35.84092651170936,32.1312200385362,34.47858835811141,38.24109757571571,36.80259101053935,34.16733002482579,35.54421610952142,38.10577903542757,67.8149379146778,61.504548950655,47.4897930796912,35.7446747041,35.4398108233,35.8535547515,36.0014796697,35.198269375,36.6835890592,40.62762440186803,39.80628484887588,42.52091385895441,42.73183700605723,39.03448810585598,38.62631184840733,38.02321822788716,36.84778783436328,48.05825410584107,112.0707526584471,153.2070734200002,139.1414149528161
2015,San Jacinto,Hidro,7.6,36.64417694157917,30.88301995855528,25.81427368722818,35.57007860139175,74.08429967532842,111.65656278665,120.1102479653973,132.1032273632282,93.30207391644842,89.7057497665433,113.8477843303974,93.96161524354555,24.23417982967263,27.73295461932945,24.11496178245628,30.82955309798647,62.23959098737434,97.13745254989539,128.780868984058,124.367390293636,130.0861271289643,126.6808201903692,86.22433724212424,26.77645726252889,30.1950336313543,27.07071056102689,26.03494760819492,57.05931669652293,87.52243116724107,111.1334218726009,157.3920996644685,168.5757466763405,154.697476221943,173.775303874183,189.9402042188462,234.5107077774376,179.3286013319893,31.36158713867534,25.4029773715003,34.59896117996445,78.74709947556538,124.9998696801946,128.8615609294235,173.3558206989311,183.1232490888,239.279002334,168.4841907702,94.4293061073,28.4869581442,26.57443585,24.23278880693357,27.87572279101515,65.92937386533039,119.7977983975139,167.3518519805718,129.6713395827848,182.0784395642619,88.18399079430475,43.16937942097112,59.02883372781796,26.20021587360824,31.20557531525301
2017,Yunchara,Solar,5.0,129.6342803000212,132.3963629948221,99.73632196011603,85.90901097381519,81.64010665034267,90.455647121365,95.40828704302376,103.3020559895138,108.415605132481,103.6588062544448,124.4688088005761,107.7315807294913,83.13894668631166,85.18713196658942,87.62227116169046,79.59565210964699,93.49517506112828,91.19955722734692,95.50815509849824,96.96976100177025,95.09985050104065,98.64859166923074,98.09918424816424,88.51765339649214,91.3041368976592,88.52262551409805,87.93625621291478,86.08849487085914,83.78520313369086,82.20491893005126,83.52476971433966,87.0743245474419,88.78929025498805,89.89818689967085,102.5747275249066,108.5847524544913,88.415953732787,86.17536398342637,90.87164857966923,88.52882768160124,93.67890697436245,95.40638649162109,85.70609436213866,87.50338379721256,87.8593729126,94.4733077902,96.0075412867,86.176067871,,,88.74271175235522,85.05945873836998,85.6321774382649,86.20395496059884,87.6210989486788,89.36232387862479,108.396831699061,113.5762165729122,97.14685936837517,101.6782446103663,98.54128498010022,102.4114993595162
2018,Uyuni,Solar,60.06,67.88614843755637,64.79705346188572,53.5289722929974,45.07652073955753,43.30723095492305,48.1216017185964,50.7452096993913,55.31478085387128,58.00674125526334,57.14602740654626,72.18084023823249,60.83833617412757,46.60090862666437,47.2248590866056,48.72970251557211,44.67817294448041,51.09769308665889,49.99971751914748,52.5328122325208,53.37345781512133,52.12785594444573,53.8788019814273,54.09581269123458,50.65805936302736,52.01388324026461,50.64086306115544,50.15317899002429,48.97167993523313,47.99331427477937,47.14366837033571,47.99811455751111,49.76551209828241,50.80658376669857,51.68166355834931,61.19343418913665,61.43294200923039,49.89503446902239,48.53778772241289,51.48124702947071,50.25988314750094,52.46702606503747,53.67972070482958,48.23679282047071,49.18398032734048,49.3364777272,53.4494121987,53.5705216081,47.6220499804,50.9178954512,50.6468193691,48.30972424419948,46.90861866225011,46.67775904942627,46.90643306986758,47.658700683078,48.44268177043924,59.24069847610486,60.90698003558829,50.06155077322833,52.27262478429252,49.59937160943542,51.73585998850471
